,latitude,longitude,blk_no,road_name,postal_code,address
389,1.32965461509134,103.887183600084,30,BALAM ROAD,370030,BALAM RD
390,1.32526543033124,103.88488961869,79A,CIRCUIT ROAD,371079,CIRCUIT RD
391,1.32526543033124,103.88488961869,79A,CIRCUIT ROAD,371079,CIRCUIT RD
392,1.33207744108742,103.885229623694,,MACPHERSON LANE,NIL,MACPHERSON LANE
393,1.32526543033124,103.88488961869,79A,CIRCUIT ROAD,371079,CIRCUIT RD
394,1.32965461509134,103.887183600084,30,BALAM ROAD,370030,BALAM RD
395,1.32965461509134,103.887183600084,30,BALAM ROAD,370030,BALAM RD
396,1.32456074559429,103.902777089531,,NIL,NIL,EUNOS CRES
397,1.32526543033124,103.88488961869,79A,CIRCUIT ROAD,371079,CIRCUIT RD
398,1.33118509619133,103.902098626147,301,UBI AVENUE 1,400301,UBI AVE 1
399,1.31510752106275,103.895587944619,13,HAIG ROAD,430013,HAIG RD
400,1.30825157753166,103.885833296725,51,OLD AIRPORT ROAD,390051,OLD AIRPORT RD
401,1.32526543033124,103.88488961869,79A,CIRCUIT ROAD,371079,CIRCUIT RD
402,1.31510752106275,103.895587944619,13,HAIG ROAD,430013,HAIG RD
403,1.317129206021,103.885373542742,,GEYLANG EAST AVENUE 1,NIL,GEYLANG EAST AVE 1
404,1.32456074559429,103.902777089531,,NIL,NIL,EUNOS CRES
405,1.33118509619133,103.902098626147,301,UBI AVENUE 1,400301,UBI AVE 1
406,1.31672380462251,103.878786208516,61,SIMS DRIVE,380061,SIMS DR
407,1.32362166702674,103.886961667057,,PIPIT RD,NIL,PIPIT RD
408,1.31672380462251,103.878786208516,61,SIMS DRIVE,380061,SIMS DR
409,1.32526543033124,103.88488961869,79A,CIRCUIT ROAD,371079,CIRCUIT RD
410,1.31869302203349,103.883006797269,,GEYLANG EAST CTRL,NIL,GEYLANG EAST CTRL
411,1.31510752106275,103.895587944619,13,HAIG ROAD,430013,HAIG RD
412,1.317129206021,103.885373542742,,GEYLANG EAST AVENUE 1,NIL,GEYLANG EAST AVE 1
413,1.32040889000204,103.896169086857,,EUNOS ROAD 5,NIL,EUNOS RD 5
414,1.31042812293151,103.885819983918,,CASSIA CRESCENT,NIL,CASSIA CRES
415,1.38089498895572,103.879323168238,982,BUANGKOK CRESCENT,530982,BUANGKOK CRES
416,1.34454464168319,103.890944357466,,NIL,NIL,HOUGANG AVE 3
417,1.37143736463902,103.881261079192,644,HOUGANG AVENUE 8,530644,HOUGANG AVE 8
418,1.34454464168319,103.890944357466,,NIL,NIL,HOUGANG AVE 3
419,1.35383705299112,103.886917032282,121,HOUGANG AVENUE 1,530121,HOUGANG AVE 1
420,1.37143736463902,103.881261079192,644,HOUGANG AVENUE 8,530644,HOUGANG AVE 8
421,1.37143736463902,103.881261079192,644,HOUGANG AVENUE 8,530644,HOUGANG AVE 8
422,1.36712666688764,103.896417221895,,HOUGANG AVE 5,NIL,HOUGANG AVE 5
423,1.37143736463902,103.881261079192,644,HOUGANG AVENUE 8,530644,HOUGANG AVE 8
424,1.37499002963882,103.88598223129,685,HOUGANG STREET 61,530685,HOUGANG ST 61
425,1.37499002963882,103.88598223129,685,HOUGANG STREET 61,530685,HOUGANG ST 61
426,1.36712666688764,103.896417221895,,HOUGANG AVE 5,NIL,HOUGANG AVE 5
427,1.34454464168319,103.890944357466,,NIL,NIL,HOUGANG AVE 3
428,1.36712666688764,103.896417221895,,HOUGANG AVE 5,NIL,HOUGANG AVE 5
429,1.36712666688764,103.896417221895,,HOUGANG AVE 5,NIL,HOUGANG AVE 5
430,1.35192637106197,103.880320335426,,HOUGANG ST 11,NIL,HOUGANG ST 11
431,1.35370313485786,103.890680820842,106,HOUGANG AVENUE 1,530106,HOUGANG AVE 7
432,1.37143736463902,103.881261079192,644,HOUGANG AVENUE 8,530644,HOUGANG AVE 8
433,1.36712666688764,103.896417221895,,HOUGANG AVE 5,NIL,HOUGANG AVE 5
434,1.35370313485786,103.890680820842,106,HOUGANG AVENUE 1,530106,HOUGANG AVE 7
435,1.36712666688764,103.896417221895,,HOUGANG AVE 5,NIL,HOUGANG AVE 5
436,1.37361587694624,103.885758919948,682,HOUGANG AVENUE 4,530682,HOUGANG AVE 4
437,1.36868496277618,103.884309433634,120,HOUGANG AVENUE 2,538858,HOUGANG AVE 2
438,1.37143736463902,103.881261079192,644,HOUGANG AVENUE 8,530644,HOUGANG AVE 8
439,1.35383705299112,103.886917032282,121,HOUGANG AVENUE 1,530121,HOUGANG AVE 1
440,1.36712666688764,103.896417221895,,HOUGANG AVE 5,NIL,HOUGANG AVE 5
441,1.35090140232399,103.882553439306,,LOR AH SOO,NIL,LOR AH SOO
442,1.37143736463902,103.881261079192,644,HOUGANG AVENUE 8,530644,HOUGANG AVE 8
443,1.37423994622641,103.878829717618,,HOUGANG ST 92,NIL,HOUGANG ST 92
444,1.37143736463902,103.881261079192,644,HOUGANG AVENUE 8,530644,HOUGANG AVE 8
445,1.37606587851406,103.888593893569,699D,HOUGANG STREET 52,538699,HOUGANG ST 52
446,1.35192637106197,103.880320335426,,HOUGANG ST 11,NIL,HOUGANG ST 11
447,1.37143736463902,103.881261079192,644,HOUGANG AVENUE 8,530644,HOUGANG AVE 8
